,user_name,total_star,durability_star,price_star,design_star,delivery_star,date,review,help
0,슬퐁이,5.0,5.0,5.0,5.0,5.0,2019.12.07,정말 편합니다! 굿굿 앉으면 항상 밑에 고양이가 들어가여,136
1,우니우니행운ㅣ,5.0,5.0,5.0,5.0,5.0,2020.04.13,벌써 자리 뺏겼어요 냥이가 좋아할 만큼 아주 편합니다 몸을 쏙 감싸줘여 발받침대도 꼭 같이 사세오,32
2,박주1,5.0,5.0,5.0,5.0,5.0,2019.12.08,진짜 기대이상으로 너무 편해서.. 단점이라면 자꾸 잠이 들어요;;,26
3,집순이23,5.0,5.0,5.0,5.0,5.0,2021.04.08,예쁘구요 편합니다 다만! 제 키가 163인데 저 목?쿠션이 머리위치에 오는데 오히려 머리를 앞으로 미는 느낌?이여서 불편하더라구요 제 키정도거나 작으신분은 플러스말고 일반추천합니다 그리고 흔들다리도 주문했는데 끼우고 빼는거 진짜 엄청나게 불편합니다 온힘을 다해서 했어요 하다가 짜증나서 관둘까하다가 겨우 했는데 막상 흔들다리하니까 자리도 많이 차지하고(앞뒤로 공간이 필요하다보니) 고정되지않아 전 불편하게 느껴졌고 테이블 의자로 사용하기에 적합하지 않아 뺏습니다 근데 여유있는 공간이 있으시고 저처럼 테이블의자로 사용하실게 아니면 흔들다리해도 좋으실 거 같아요,19
4,난제25,5.0,5.0,5.0,5.0,5.0,2020.06.14,독립해서 가장 잘 샀다고 생각하는 가구입니다. 하루 일과를 마치고 의자에 앉으면 정말 포근하고 안락합니다. 의자가 저를 오늘 하루 수고했다 안아주는 거 같습니다. 본가에 들어가도 꼭 챙겨 갈 애장가구입니다.,15
5,흣짜를쓰고있다니,5.0,5.0,5.0,5.0,5.0,2021.01.07,주인님이 편하다고 취침 준비하시네요.,11
6,솔직한,5.0,5.0,5.0,5.0,5.0,2021.04.20,일단 배송이 빠르고 조립도 쉽습니다. 무엇보다 와...진짜 너무 안락해요. 소재는 옥스포드천으로 바뀐건가요? 예전에 스웨이드 같다는 리뷰를 봤던 기억이 있는데 지금은 덥지 않은 소재로 바뀐 것 같아요. 이게 더 좋네요 :) 디자인이 저렴한 제품처럼 보여서 거의 1년간 고민했는데 막상 받아보니 그렇지도 않더라구요. 블랙으로 샀더니 생각보다 고급스럽습니다. 잘 쓰겠습니다! 저는 풀세트로 샀거든요. 키 170인데 방석까지 깔아야 낮잠잘때 목이 자연스럽게 받쳐집니다. 안그러면 뒷통수에 자꾸 걸리는 느낌입니다. 참고하세요! +수정) 쓰다보니 느낀건데 오래앉아있으면 허리통증이 다리까지와요.. 원래 이렇게 생긴 의자는 그런건가요??,9
7,마득춘,5.0,5.0,5.0,5.0,5.0,2021.04.11,와..정말 왜 다들 리뷰쓰드가 잠들었다고 했는지 알 것 같,9
8,팡팡유,5.0,5.0,5.0,5.0,5.0,2021.04.08,키가 172라 플러스 사길 잘한거 같아요 머리가 딱 편하게 들어가요 조립은 생각보다 쉬웠고 설명서 잘되있어요 가벼워서 옮기기도 용이해요 세탁하려면 골조 다 빼야해서 힘들까 걱정되긴한데 분리 세탁되는게 어디냐 싶어요!! 커버만 빠지는게 아니라 커버랑 솜이랑 같이 봉제되있는거라 때타면 때타지 않는 색으로 재구매하려구요 >발받침은 캠핑간이의자같은데에 솜커버 위에 씌우는거라 이건 세탁하기 용이할거 같아요 앉는 부분 때 덜탔음 해서 방석도 구매했는데 올리면 폭들어가는 느낌이 덜하고 없는게 더 폭감싸는 느낌이 들어요 등쿠션처럼 사용하니까 더 편하네요 밑에 주머니 있어서 리모컨같은 것들 보관가능한것도 맘에들어요 약간 뒤로 기대 눕는 느낌에 각도일거라고 생각했는데 그건 아니고 딱 편하게 앉은 느낌이에요 그래도 편해서 아주 만족합니다아 ㅎ,7
9,와비여우별,5.0,5.0,5.0,5.0,5.0,2019.12.22,너무 너무 편해요^^발 받침이 없다면 같이 사는게 좋을듯합니다 엉덩이 앉는부분이 큰성인의 경우엔 조금 짧을수도 있을것 같아요..확실히 흔들의자프레임 있는게 훨씬 편합니다^^아빠와 아들이 서로 앉으려고 난리도 아니예요^^;하나 더 구매해야겠어요 ^^,7
10,아이우애,5.0,5.0,5.0,5.0,5.0,2019.11.25,흔들의자 최고...발받침도 살껄 넘 아쉬워요☆ 넘 포근하고 좋아요ㅠㅜ고민하시는 분들은 그냥 지르십시오!!!가성비 갑입니다!!!!!!,7
11,Latie,5.0,5.0,5.0,5.0,5.0,2020.12.03,"쓸쓸한 겨울이였는데 이 의자가 거짓말처럼 저를 안아주네요.... 강 추... 흔들프레임 달기 전에 앉아보고 오 편하다 감동~ 이러고, 프레임 단 후에 앉았는데 거의 둥둥 물에 둥둥 떠있는 느낌이예요 아아아아 감사합니다!!!!!",4
12,니가아는그사람이나에요,5.0,5.0,5.0,5.0,5.0,2020.05.02,162에 목위치가 조금 애매하긴하지만 마음에 듭니다ㅎㅎ조립도 간편해요ㅎ,4
13,^^5678215,5.0,5.0,5.0,5.0,5.0,2020.01.30,진짜 짱편해요 ㅋㅋㅋㅋ 생각보다 커서 놀램,4
14,미쥬래요,5.0,5.0,5.0,5.0,5.0,2020.09.17,한번앉으면 몸이 녹아요 엄청 포근해서 일어나기 싫을 정도예요ㅠㅠ진짜너무 잘산듯 160이상분들은 헤드잇는거추천드리고 발패드꼭사세요같이 ㅎㅎ,3
15,"몰디브,,,한,잔,,,~^^",5.0,5.0,5.0,5.0,5.0,2021.07.17,배송은 하루 정도 걸렸구요! 제가 조립을 되게 못하는 편인데 의자조립 되게 쉬웠어요! 천 재질은 많이 더운편이라 여름에 쓸려면 위에 시원한 천을 올려야 쓸만 할 것 같습니다.,2
16,크리에토,5.0,5.0,5.0,5.0,5.0,2021.03.07,무척 편안하고 앉아 있으면 책이 술술 읽혀지네요 편하게 존재할 수 있게 해주는 대박 아이템 입니다,2
