,user_name,total_star,durability_star,price_star,design_star,delivery_star,date,review,help
0,lala♥️,5.0,null,null,null,null,2018.11.15,가격이 착해서 주저없이 구매했던 이케아 펠로 암체어. 팔걸이는 나무 의자틀은 철재인데 텐션이있어 편하고 개인적으로 맘에 들어요. 단 커버가 벗겨지는건 어쩔 수 없네요,7
1,김혜주88,5.0,5.0,5.0,5.0,5.0,2018.06.15,"완전 좋아요...! 앉아서 딴짓하면 3시간이 훌쩍 가버리는 마성의 의자 ㅋㅋㅋㅋㅋ 다른 회사 의자들은 엉덩이 부분에 나무로 데져있어서 쿠션 솜 죽으면 나무느낌나서 불편한데, 단단한 천?같은걸로 고정시키는거라 완전 편해요! 90넘게나가는 오빠가 앉아있어도 튼튼!!",6
2,yeeriin,5.0,5.0,5.0,5.0,5.0,2017.10.14,조립이 간편하고 생각보다 완전 편해요,6
3,chee****53,5.0,null,null,null,null,2019.01.09,너무 편하고싸고 좋네요 다른색상도 구매하고싶네요,5
4,소퓨이대표,5.0,5.0,5.0,5.0,5.0,2018.12.13,십자 드라이버 별도 필요합니다! 조립은 어렵지 않아요. 앉았을때도 편합니다. 다만 나무 바닥이 미끄러워서 앉을때 살짝 뒤로 밀리는 경향이 있긴 해요. 미끄럼방지 스티커를 붙이거나 러그 위에 깔면 될 것 같아요.,5
5,인애쿠,5.0,null,null,null,null,2018.11.18,가만히 앞아서 책도 읽고 티비도 봅니다,5
6,선히아니고썬,5.0,null,null,null,null,2018.01.24,앉는부분 커버는 살짝 저렴해보이긴하는데 담요나 쿠션깔고 쓰면 이뻐요. 사용감은 좋구요. 조립할때 부피가 커서 조금 고생했지만 여자혼자서도 거뜬해요.,5
7,씽씽93,5.0,5.0,5.0,5.0,5.0,2018.06.25,생각보다 커서 기분좋고 튼튼해서 좋아요,4
8,응디6482,5.0,null,null,null,null,2019.03.01,"외관적으로는 심플하고 인테리어 효과가 있어서 너무 맘에들고요, 커버를 벗길수있어서 세탁할수 있다는게 제일 좋아용ㅋㅋ 그렇지만 흔들의자까지는 아니어도 앉을때 살짝 끄떡거려서 그점이 호불호가 갈릴수는 있을거같아용!",3
9,조모꾸,5.0,5.0,5.0,5.0,5.0,2019.02.20,넓어서 아부지다리하고 앉아도 편안하고 아부지가 앉으셔도 편하시다네ㅣ요 진심 가성비 갑입니다,3
10,영고옹,5.0,5.0,5.0,5.0,5.0,2019.01.08,아주편하고 아주 좋습니다^^ 신랑이 잘 조립해줬어요! 항상 이곳에 앉아서 밖을 바라보곤한답니다 헤헤,3
11,mars9563,5.0,5.0,5.0,5.0,5.0,2018.11.25,의자 생각보다 커요 편하고 조립도 쉬워요 고민말고 구매하세요,3
12,낙원상가,5.0,null,null,null,null,2018.10.28,풋스툴이 없으니 2%부족한 느낌이네요. 추가로 구매해야할것 같아요.,3
13,까칠한붕어,5.0,null,null,null,null,2018.07.21,진짜 이 가격에 말도 안되게 편해요 ㅋㅋㅋ,3
14,silver•0•,5.0,5.0,5.0,5.0,5.0,2021.06.09,처음엔 편할까? 생각했는데 한번 앉으면 일어나기 싫어요,2
