,user_name,total_star,durability_star,price_star,design_star,delievery_star,date,review,help
0,땡땡이무느ㅣ,5.0,5.0,5.0,5.0,5.0,2020.04.09,마켓비 매장에서 앉아보고 주문했어요 이케아 암체어랑 마켓비 안락의자랑 엄청 고민했는데 천이 두툼하고 오래써도 덜꺼질꺼같아서 마켓비로 구매했습니다 푸프에 다리올리고 있으면 정말 편합니다 개인적인 느낌으로는 이케아 암체어보다 더 편한거같아요 찍찍이가 있길래 겉커버 분리되는줄 알았는데 안되네요 굳이 세탁하려면 단추 분리해서 겉커버 일부만 세탁하고 단추를 다시 실로 달아야해요 ㅎㅎㅎㅎ 저는 담요 씌워서 쓰려구요,25
1,미넺ㅔ,5.0,5.0,5.0,5.0,5.0,2020.03.15,생각보다 굉장히 푹신하고 앉아있으면 잠이 솔솔 와요 색감도 예쁘고 저희 고양이가 푹신한거 어떻게 알고 의자에 올라가서 내려올 생각을 안하네요 ㅋㅋㅋ 등받이 각도 조절도 가능하고 굉장히 만족스러운 제품입니다 다른 후기에서 커버분리가 안되어서 세탁이 고민이라고 했는데 보니까 뒤에 찍찍이로 커버 분리 가능해서 세탁도 할 수 있네요 너무 편해서 하나 더 사려고요!,24
2,아용용가리-,5.0,null,null,null,null,2020.04.05,마켓비 공홈에서 샀습니다 퇴근후 자꾸 침대로 바로 기어들어가서 구매했슴당 매우매우 만족스러워욧 ㅎㅎㅎㅎ 그레이보다는 카키에 가깝습니다 그리고 커버 공홈에서 추가로 구매 가능합니다,20
3,비비은구,5.0,5.0,5.0,5.0,5.0,2021.01.03,이거 나사하나가 빠져서 계속 창고에 보관되어있어요.. 조립위해 나사를 보내달라고 요청해도 안보내주시네요ㅠㅠ,15
4,은동이쩡쁜이,5.0,null,null,null,null,2018.03.25,제가 이사와서 방꾸밀때 제일 먼저 산 물건이에요 ! 방 포인트로 넘 에뻐용,15
5,sunshin1002,5.0,5.0,5.0,5.0,5.0,2020.07.15,몇가지 단점 야기하면 1. 목쿠션이 너무 커서 누으면 목이 좀 줄펴 2. 의자 다리들이 뾰족해서 장판 쓰는집은 찍힙니다. 3.다리 걸치는 의자가 함께 있어야 할듯요,14
6,limkj,5.0,5.0,5.0,5.0,5.0,2017.10.01,사진그대로 넘 맘에들어요. 세탁이 어려울것같아 카키샀는데 커버만 분리가안되서 위에 천으로 덮고 써야겠네용,12
7,성훈이의,5.0,5.0,5.0,5.0,5.0,2020.02.23,엄청 편한데 심지어 이뽀.. 완전 강추입니당,10
8,rosemac,5.0,null,null,null,null,2020.03.12,자꾸 쉬고싶을 때.. 침대로 가게 되어서.. 기어이는 좁은 집에.. 독서의자 들인 동네이모.. 2년 동안 맘에 드는 거 고르다가.. 드디어 딱 맘에드는 디자인을 찾았음.. 무엇보다.. 양반다리도 할 수 있다는 거.. #안락의자 #독서의자 #엄청편함,9
9,민즈아,5.0,5.0,5.0,5.0,5.0,2019.03.08,허전한 공간을 꽉채워주네요 분리가 안되서 흰색인데 세탁이 걱정입니다 그래도예뻐요,8
10,danik.,5.0,5.0,5.0,5.0,5.0,2018.10.08,편하고 따로 조립하는게 없어서 좋아요,8
11,HY💙,5.0,5.0,5.0,5.0,5.0,2020.07.03,배송은 매우 빨랏고요 조립없이 자르고 펼치기만해서 좋았어여 다만 생각한것보단 마니 편하진 않아섴ㅋㅋㅋ그건 살짝 실망 기대를 너무 많이 했나바요 그렇다고 절대 나쁜건 아니고 편하지만 ㅋㅋㅋㅋ 제가 생각한 그런 편함은 아니였다는??ㅋㅋㅋㅋㅋ하지만 맘에 들어요 저렴하고 인테리어 효과는 굿,7
12,Lune de Jerry,5.0,null,null,null,null,2020.01.02,생각보다 푹신하진 않지만 그래도 잘 사용중이예요! 안락하게 앉아서 음악이나 작업하기 좋고 각도 조절이 되서 편안해요! 다음에는 화이트 색상으로 하나 사고 싶어요!,7
13,에뷔테른,5.0,null,null,null,null,2020.08.08,수유의자로 사용할만큼 편한 의자로 입소문나있죠~ 3단으로 각도조절되서 독서에도 영상시청에도 낮잠에도 다 좋아요 디자인과 소재도 맘에 들어요,6
14,yeo_naa,5.0,null,null,null,null,2020.04.08,우드한 집안분위기에 찰떡이에요~ 편해서 지금도 앉아있어요😊,6
15,김일♡,5.0,5.0,5.0,5.0,5.0,2019.04.17,생각보다 너무 편하고 디자인도 너무 이뻐서 만족합니다,6
16,마리아1011,5.0,5.0,5.0,5.0,5.0,2020.06.22,"너무 편하고 좋아요.. 잠이 솔솔 올정도로,허리도 아프지 않고 적당히 목도 바쳐주는게 아주 굿!",5
17,닭발먹구싶다,5.0,5.0,5.0,5.0,5.0,2020.04.08,엄청 편해요 푹신하구 진짜 안샀으먼 어쩔뻔 ~~~,5
18,청초밭,5.0,5.0,5.0,5.0,5.0,2020.03.16,사용할수록 제 몸에 맞춰져 편해지긴했는데 앉았을 때 천이 뒤쪽으로 밀려 허벅지 뒷부분은 좀 불편함이 있어요 접고 펴기가 쉬워 책 읽을 때 편하게 잘 사용하고 있어요^^,5
