,user_name,total_star,durability_star,price_star,design_star,delievery_star,date,review,help
0,ㅈㅊㅎ3,5.0,null,null,null,null,2020.10.09,포근해서 계속앉아있게 되네요 기대이상이에요,2
1,방망쑤,5.0,5.0,5.0,5.0,5.0,2021.07.03,한 번 앉으면 잘 못일어납니다 ㅋㅋㅋㅋ마약같은 의자입니다. 저렴한 가격에 잘 구매한 것 같아요 의자 무게가 있어서 장판에 찍힘자국이 나요 집 바닥이 장판인 분들 참고해주세용~,1
2,boknam0416,5.0,5.0,5.0,5.0,5.0,2021.06.30,"디자인도 이쁘고 앉아도, 누워도 참 편하고 좋아요.",1
3,귀로듣는풍경,5.0,5.0,5.0,5.0,5.0,2021.06.29,일욜주문했는데 오늘 도착했어요. 사진그대로 이쁘고 잠깐 앉아 tv보기 좋은듯해요. 각도 조절 3단계라서 좋고 커버를 세탁할수있어 편리하긴합니다.,1
4,여름순이39,5.0,5.0,5.0,5.0,5.0,2021.06.14,겨울용으로 샀는데 편해서 베란다에 놓고 계속 사용하고 있어요,1
5,영롱링,5.0,5.0,5.0,5.0,5.0,2021.06.11,너무 예뻐요 잘 쓰겠습니다 배송빨라요!,1
6,미두리2,5.0,5.0,5.0,5.0,5.0,2021.05.22,솔직히 엄청 편한건 아니지만 그래도 잠깐 드라마볼때 앉아있기좋아요ㅋㅋ 접이식이라 안쓸땐 세워놓을수도있고 커버분리되는것도 좋네옹!!! 가격대비 핵만족!,1
7,ninii.s,5.0,5.0,5.0,5.0,5.0,2021.04.27,이제는 국민의자라고 해도 될정도로 많이들 아시고 사시는 제품이죠 ㅋㅋㅋ 편하고 좋아요 ㅎㅎ 단 조절할때 조금 귀찮긴 하지만 이가격에 이정도 퀄리티라면 감수해야죠 넘 좋아용,1
8,오블O'ble,5.0,null,null,null,null,2021.04.04,완전 편하고 가성비 좋은 안락의자 입니다!,1
9,onki,5.0,null,null,null,null,2021.03.27,너무 좋아요 완전 안락해요 배송도 빨리왔어요 !,1
10,민경649,5.0,5.0,5.0,5.0,5.0,2021.03.27,설치할 필요없이 다 조립돼서 오구요 생각보다 훨씬 편하고 좋아요 고민하지 말고 사세요!!!,1
11,memi,5.0,5.0,5.0,5.0,5.0,2021.01.05,사진이랑 같고 예쁩니다:) 잘 사용하겠습니다,1
12,무지개219,5.0,5.0,5.0,5.0,5.0,2021.01.01,엄청 편해요~한번 앉으면 못일어나겠어요 ㅎㅎㅎ😆 영화보기 딱 좋습니다^^,1
13,HBDY,5.0,null,null,null,null,2020.12.27,독서 의자로 너무 좋아요 기울기 조절도 돼서 실용적,1
14,경집,5.0,5.0,5.0,5.0,5.0,2020.12.15,생각했던색이아니긴한데 그런대로 또이쁜거같아요 이쁘게잘쓸게용,1
15,채채670,5.0,5.0,5.0,5.0,5.0,2020.12.11,세상편해요 오늘 의자에앉아서 잠들었어요 넘 편해서 ㅋㅋ 근데 배송은 좀 느렸어요,1
16,Ssel2,5.0,null,null,null,null,2020.11.19,퇴근 후 항상 여기서 쉬는거같아오 ㅎㅎㅎㅎ,1
17,셍들셍드ㄹ,5.0,5.0,5.0,5.0,5.0,2020.10.22,배송은 일주일 안되게 걸렸어요! 흰색인데 약간 오염은 있지만... 귀찮으니 그냥 쓸게욘 몇년전 부터 너무 갖고싶었는데 드디어 구매하게 됐는데 너무 좋아요ㅠㅠㅠㅠ푹신하고 편하고 역시 돈내고 앉아있는 맛,1
18,다미0613,5.0,5.0,5.0,5.0,5.0,2020.10.19,포근하고 안락한데 책상의자로 쓰기엔 무리가 있어요. 침대옆으로 위치 옮겼는데 누워있음 세상 포근하고 편합니다ㅠ,1
19,shhvf,5.0,null,null,null,null,2020.10.18,안락의자에 앉아서 영화보니까 너무좋아요 진짜 너무 푹신하고 아늑해요,1
20,kofilove,5.0,5.0,5.0,5.0,5.0,2020.10.15,칭실 짐대 옆에 뒀어요ㆍ늘 침대에 누워서 영화를 보곤 하는데 이젠 안락의자가 있으니 침대탈출....,1
21,하니짜ㅇ2,5.0,5.0,5.0,5.0,5.0,2020.10.11,"예뻐요,, 갬성있는 내 베란다,, 오래 기다린 보람있어요",1
22,뭔별명이여그냥혀,5.0,5.0,5.0,5.0,5.0,2020.10.08,예뻐요 첫번째 칸에 맞추면 엉덩이가 살짝 불편한데 두번째 칸부터는 편하네요 사이즈도 생각보다 작아서 좋고 맘에 듭니다. 감사합니다.,1
23,알알이11,5.0,5.0,5.0,5.0,5.0,2021.08.24,매장에서 보고 살까말까 고민하다가 질렀네요 폭신하니좋아요 가성비도좋고 마감이조금 허술하지만 가격이 저렴하니~ 쿠션도 빨수있게 탈부착되고 좋네요~,0
24,eggwife,5.0,5.0,5.0,5.0,5.0,2021.08.20,예뻐요 그리고 설치가 진짜 편하네요!!,0
25,나무160,5.0,5.0,5.0,5.0,5.0,2021.08.08,쉬는 날 늘 침대에 누워서 드라마나 영화른 보는 아들을 위해 오래 고민하고 샀는데 정말 예쁘고 편하네요. 진한 갈색에 아이보리 쿠션 선택해서 가격이 쫌 비쌌지만 고급스럽고 엔틱하니 맘에 들어요. 무엇보다 침대에 누워 딩구는 모습이 아니고 아락의자에 앉아 영상 보는 모습이 좋으네요. 잘샀어요,0
26,해리배ㄱ,5.0,5.0,5.0,5.0,5.0,2021.08.05,예쁘고 인테리어에도 좋아요 편안하고 좋아요,0
27,러블리다빈,5.0,5.0,5.0,5.0,5.0,2021.08.02,두개샀어요 너무 좋아요 처음에 좀 더러워져있어서 닦아낸다고 고생했지만 베란다가 감성있게 변했어요 ㅎㅎ,0
28,소비의아이콘,4.8,5.0,5.0,4.0,4.0,2020.12.08,마음에 들어요 사고났더니 마켓비 사이트에서 할인했지만 여긴 배송비가 무료니.... 그걸로 위안 삼았어요 사고싶던 제품이라 마음에 들어요,2
